UNITID,NPT4_PUB,NPT4_PRIV
105668,7200,NULL
105677,NULL,21350
105701,NULL,9471
105747,7579,NULL
105792,6536,NULL
105899,NULL,23824
106041,NULL,20366
106102,NULL,6312
106111,NULL,13833
106148,6799,NULL
106245,13729,NULL
106263,NULL,NULL
106306,NULL,17890
106315,NULL,19034
106324,NULL,11597
106342,NULL,19158
106351,NULL,16056
106360,NULL,11306
106397,16069,NULL
106412,8692,NULL
106449,7633,NULL
106458,13828,NULL
106467,11985,NULL
106485,10889,NULL
106494,NULL,11142
106546,NULL,20281
106625,6846,NULL
106704,14375,NULL
106713,NULL,17035
106795,4593,NULL
106810,NULL,16551
106829,3931,NULL
106883,5667,NULL
106892,NULL,12253
106908,NULL,15198
106980,9108,NULL
106999,6628,NULL
107044,NULL,18963
107071,15357,NULL
107080,NULL,20695
107099,NULL,9027
107123,NULL,NULL
107141,NULL,22583
107220,NULL,12041
107293,NULL,13008
107318,11794,NULL
107327,5348,NULL
107442,NULL,14848
107460,4602,NULL
107488,6035,NULL
107512,NULL,18509
107521,7841,NULL
107549,5331,NULL
107558,NULL,17349
107585,4840,NULL
107600,NULL,16175
107619,4894,NULL
107637,7719,NULL
107655,NULL,5449
107664,10872,NULL
107725,6070,NULL
107743,4488,NULL
107789,NULL,20026
107831,NULL,18772
107840,NULL,15773
107877,NULL,15645
107974,6030,NULL
107983,12778,NULL
107992,9977,NULL
108065,NULL,7583
108092,10417,NULL
108232,NULL,33012
108269,NULL,NULL
108348,NULL,24149
108649,NULL,14435
108667,8352,NULL
108807,3641,NULL
108852,NULL,36711
108861,NULL,NULL
108870,NULL,NULL
108977,NULL,9519
109040,NULL,22215
109086,NULL,29527
109208,5419,NULL
109350,8316,NULL
109651,NULL,43873
109721,NULL,21362
109730,NULL,26103
109785,NULL,27267
109819,5904,NULL
109907,7923,NULL
109934,NULL,21672
110060,NULL,16351
110097,NULL,31492
110194,NULL,25896
110219,NULL,19369
110246,4846,NULL
110307,NULL,NULL
110316,NULL,NULL
110334,7471,NULL
110361,NULL,31231
110370,NULL,30601
110398,NULL,NULL
110404,NULL,23345
110413,NULL,25871
110422,19979,NULL
110468,NULL,18408
110486,6785,NULL
110495,6295,NULL
110510,8519,NULL
110529,13068,NULL
110538,14703,NULL
110547,4655,NULL
110556,5872,NULL
110565,8737,NULL
110574,11566,NULL
110583,9423,NULL
110592,3792,NULL
110608,5703,NULL
110617,9733,NULL
110635,15430,NULL
110644,15769,NULL
110653,13376,NULL
110662,14309,NULL
110671,12344,NULL
110680,14628,NULL
110699,NULL,NULL
110705,15801,NULL
110714,17884,NULL
110778,NULL,NULL
110875,NULL,12434
110918,NULL,22525
111054,NULL,18521
111081,NULL,46101
111188,16416,NULL
111391,NULL,NULL
111434,3070,NULL
111461,5596,NULL
111513,NULL,14533
111638,NULL,25724
111708,NULL,16482
111717,NULL,16391
111726,NULL,7416
111744,NULL,13971
111762,NULL,5689
111799,NULL,8079
111887,9520,NULL
111896,8670,NULL
111920,5385,NULL
111939,8845,NULL
111948,NULL,39228
111966,NULL,NULL
112075,NULL,23867
112084,NULL,27039
112127,NULL,NULL
112172,3499,NULL
112181,NULL,5646
112190,3373,NULL
112251,NULL,NULL
112260,NULL,26933
112288,NULL,19008
112367,15666,NULL
112385,8300,NULL
112394,NULL,26230
112446,NULL,29346
112455,NULL,14718
112525,NULL,NULL
112561,5552,NULL
112570,NULL,27848
112686,8088,NULL
112826,6455,NULL
113096,3942,NULL
113111,13314,NULL
113193,8211,NULL
113218,3422,NULL
113236,5043,NULL
113333,4675,NULL
113449,NULL,11931
113537,NULL,NULL
113573,8226,NULL
113582,NULL,31825
113634,5637,NULL
113698,NULL,33669
113704,NULL,NULL
113856,8261,NULL
113980,8765,NULL
114044,NULL,24654
114114,NULL,NULL
114123,NULL,22547
114266,11095,NULL
114354,NULL,41800
114390,NULL,37943
114415,NULL,35112
114433,10163,NULL
114460,NULL,15036
114549,NULL,NULL
114585,NULL,NULL
114628,NULL,16733
114637,NULL,12003
114716,5291,NULL
114734,NULL,NULL
114761,NULL,11422
114789,3176,NULL
114813,NULL,16177
114840,NULL,NULL
114859,4285,NULL
114938,4730,NULL
114947,NULL,28645
115001,2825,NULL
115010,NULL,21981
115083,NULL,NULL
115126,4252,NULL
115214,NULL,NULL
115296,3011,NULL
115357,NULL,11688
115393,9323,NULL
115409,NULL,34464
115658,NULL,11713
115728,NULL,21566
115746,NULL,NULL
115755,14490,NULL
115773,NULL,19348
115861,3306,NULL
115931,NULL,25265
116226,NULL,NULL
116350,NULL,16880
116439,3961,NULL
116563,NULL,25921
116712,NULL,NULL
116846,NULL,29554
117052,2465,NULL
117104,NULL,21556
117113,NULL,25152
117140,NULL,25429
117168,NULL,36095
117195,5980,NULL
117238,NULL,13589
117247,6077,NULL
117274,9180,NULL
117520,NULL,NULL
117557,NULL,16112
117575,NULL,26755
117627,NULL,24370
117636,NULL,NULL
117645,4409,NULL
117672,NULL,18878
117690,8549,NULL
117706,7984,NULL
117715,6003,NULL
117724,6516,NULL
117733,8564,NULL
117751,NULL,26294
117788,6122,NULL
117803,NULL,NULL
117867,7505,NULL
117894,5253,NULL
117928,NULL,24834
117946,NULL,40676
117955,NULL,15323
118134,NULL,16831
118143,NULL,17369
118161,NULL,16968
118189,NULL,18444
118198,NULL,17122
118259,NULL,23247
118277,NULL,26232
118286,NULL,25897
118347,10373,NULL
118541,NULL,27487
118684,7907,NULL
118693,NULL,28639
118718,8686,NULL
118772,10892,NULL
118888,NULL,24558
118912,1712,NULL
118930,8256,NULL
118958,NULL,12888
118967,NULL,21858
118976,8435,NULL
118994,NULL,12857
119058,NULL,NULL
119067,5425,NULL
119137,2283,NULL
119164,3023,NULL
119173,NULL,28274
119216,5224,NULL
119270,NULL,36956
119331,10775,NULL
119553,NULL,25311
119605,NULL,25665
119678,NULL,NULL
119775,NULL,34755
119845,NULL,12200
119951,NULL,16749
120069,NULL,27025
120078,NULL,24087
120087,NULL,26070
120184,NULL,27906
120254,NULL,29211
120290,9864,NULL
120342,3762,NULL
120403,NULL,41501
120421,1973,NULL
120537,NULL,25607
120661,NULL,21975
120698,NULL,NULL
120768,NULL,NULL
120795,NULL,NULL
120838,NULL,NULL
120865,NULL,20995
120883,NULL,29171
120953,8428,NULL
120971,3066,NULL
121044,6742,NULL
121150,NULL,33814
121257,NULL,28423
121275,NULL,38270
121309,NULL,31452
121345,NULL,15840
121363,1659,NULL
121433,NULL,12866
121619,4393,NULL
121628,NULL,NULL
121637,NULL,7596
121691,NULL,29520
121707,5768,NULL
121859,NULL,12936
121868,NULL,10433
121886,5111,NULL
121901,5978,NULL
121983,NULL,26351
121992,NULL,6448
122117,NULL,NULL
122180,6096,NULL
122205,7399,NULL
122296,NULL,NULL
122339,4804,NULL
122366,NULL,28174
122375,5423,NULL
122384,5384,NULL
122409,14030,NULL
122436,NULL,34752
122454,NULL,46570
122506,NULL,37289
122597,13787,NULL
122603,NULL,NULL
122612,NULL,32210
122649,NULL,NULL
122658,10066,NULL
122685,NULL,19745
122728,NULL,21817
122746,10424,NULL
122755,14627,NULL
122791,1521,NULL
122834,NULL,15217
122852,NULL,13652
122889,9985,NULL
122931,NULL,33738
122977,4868,NULL
123013,6125,NULL
123095,NULL,NULL
123165,NULL,30974
123217,1659,NULL
123280,NULL,13918
123299,4723,NULL
123341,4687,NULL
123350,NULL,11242
123448,NULL,NULL
123457,NULL,27551
123484,5760,NULL
123493,7441,NULL
123509,1945,NULL
123527,7208,NULL
123554,NULL,33570
123563,6232,NULL
123572,17296,NULL
123633,NULL,NULL
123642,NULL,17821
123651,NULL,21374
123679,NULL,27063
123800,4219,NULL
123855,NULL,NULL
123916,NULL,NULL
123943,NULL,NULL
123952,NULL,55775
123961,NULL,30232
123970,NULL,NULL
124113,5247,NULL
124283,NULL,NULL
124292,NULL,24857
124487,NULL,7601
124681,NULL,24378
124706,NULL,22505
124937,NULL,26313
125028,1961,NULL
125037,NULL,NULL
125091,8754,NULL
125170,8720,NULL
125231,NULL,NULL
125310,NULL,10325
125462,7728,NULL
125471,6823,NULL
125499,7642,NULL
125532,NULL,21988
125718,NULL,NULL
125727,NULL,31039
125763,NULL,25322
125897,NULL,27697
126012,NULL,NULL
126030,NULL,NULL
126049,NULL,NULL
126076,NULL,9407
126119,3887,NULL
126164,NULL,10392
126182,13742,NULL
126207,7221,NULL
126289,7829,NULL
126359,NULL,21759
126401,NULL,16654
126562,14941,NULL
126580,15872,NULL
126605,NULL,22709
126614,20706,NULL
126669,NULL,24341
126678,NULL,34032
126687,NULL,25869
126702,NULL,24630
126711,8757,NULL
126748,11490,NULL
126775,25710,NULL
126784,NULL,17757
126818,18700,NULL
126827,NULL,16012
126863,8828,NULL
126872,NULL,27832
126915,13892,NULL
126942,9130,NULL
126951,NULL,20091
126979,NULL,NULL
127060,NULL,32174
127158,5731,NULL
127185,17705,NULL
127200,8765,NULL
127219,NULL,14966
127273,NULL,NULL
127316,NULL,10685
127389,8966,NULL
127556,18200,NULL
127565,13276,NULL
127617,8540,NULL
127653,NULL,26574
127680,NULL,NULL
127714,NULL,18237
127732,10427,NULL
127741,20367,NULL
127778,10912,NULL
127787,NULL,20564
127820,9198,NULL
127884,14860,NULL
127909,10694,NULL
127918,NULL,23672
127945,NULL,23198
127954,NULL,16222
128106,15312,NULL
128151,4369,NULL
128179,NULL,17633
128188,NULL,18437
128258,11881,NULL
128328,NULL,NULL
128337,NULL,13013
128391,17229,NULL
128498,NULL,24614
128540,NULL,13277
128577,8920,NULL
128586,NULL,NULL
128674,NULL,15883
128683,NULL,24287
128744,NULL,22642
128771,17889,NULL
128780,NULL,NULL
128896,NULL,21996
128902,NULL,30244
129002,NULL,23413
129020,20681,NULL
129154,NULL,19914
129181,NULL,24300
129215,18719,NULL
129242,NULL,36929
129349,NULL,23226
129367,6710,NULL
129428,NULL,NULL
129482,NULL,13172
129491,NULL,NULL
129525,NULL,30440
129534,NULL,11835
129543,7330,NULL
129695,4387,NULL
129729,5451,NULL
129756,4243,NULL
129774,NULL,24087
129808,7351,NULL
129923,NULL,19131
129932,NULL,14832
129941,NULL,33380
130004,7114,NULL
130040,5340,NULL
130110,NULL,18248
130174,NULL,20855
130183,NULL,19649
130217,6075,NULL
130226,NULL,38695
130253,NULL,39973
130314,NULL,25589
130396,6824,NULL
130448,NULL,21352
130493,17327,NULL
130509,NULL,16846
130581,NULL,NULL
130590,NULL,31808
130606,6912,NULL
130624,NULL,NULL
130697,NULL,29956
130776,18012,NULL
130785,NULL,NULL
130794,NULL,18627
130837,NULL,NULL
130873,NULL,17740
130907,8597,NULL
130934,13014,NULL
130943,16892,NULL
130989,NULL,14222
131061,NULL,11185
131098,NULL,23762
131113,NULL,14600
131159,NULL,36567
131283,NULL,32731
131399,17548,NULL
131405,NULL,NULL
131450,NULL,14205
131469,NULL,31956
131496,NULL,30107
131520,NULL,23424
131803,NULL,22511
131830,NULL,9333
131876,NULL,16777
131973,NULL,NULL
132268,NULL,25711
132338,NULL,22030
132374,16484,NULL
132408,NULL,10904
132471,NULL,20254
132602,NULL,17824
132657,NULL,35077
132675,4533,NULL
132693,5974,NULL
132709,9505,NULL
132842,NULL,33833
132851,7571,NULL
132879,NULL,14779
132903,15286,NULL
132976,8534,NULL
133021,3253,NULL
133155,NULL,NULL
133386,6636,NULL
133465,NULL,22055
133492,NULL,32718
133508,8664,NULL
133526,NULL,13634
133553,NULL,33120
133650,14279,NULL
133669,10466,NULL
133702,5078,NULL
133711,NULL,22616
133809,NULL,21665
133845,NULL,29564
133854,NULL,27861
133863,NULL,24022
133872,NULL,16445
133881,NULL,31592
133942,NULL,NULL
133951,12503,NULL
133960,10145,NULL
133979,NULL,17311
133997,NULL,30852
134024,NULL,17264
134079,NULL,24679
134097,14582,NULL
134112,NULL,20109
134130,12343,NULL
134228,NULL,10608
134237,NULL,26077
134291,7504,NULL
134307,3723,NULL
134343,3588,NULL
134422,NULL,21299
134495,5421,NULL
134510,NULL,9609
134529,NULL,23325
134574,NULL,22343
134608,2041,NULL
134680,NULL,NULL
134714,NULL,17553
134811,NULL,20363
134945,NULL,26767
135081,NULL,29344
135142,NULL,10659
135160,3897,NULL
135179,12434,NULL
135188,5648,NULL
135267,5045,NULL
135276,8039,NULL
135294,12669,NULL
135337,NULL,20510
135364,NULL,17312
135391,12877,NULL
135407,4814,NULL
135522,4991,NULL
135559,NULL,25368
135610,NULL,NULL
135647,6536,NULL
135717,7023,NULL
135726,NULL,29184
135735,NULL,NULL
135771,NULL,23242
136109,NULL,16686
136145,3743,NULL
136172,13779,NULL
136215,NULL,26606
136233,7709,NULL
136303,12608,NULL
136330,NULL,23891
136358,3733,NULL
136400,6271,NULL
136473,5238,NULL
136491,17855,NULL
136516,8489,NULL
136659,9598,NULL
136701,NULL,NULL
136765,24711,NULL
136774,NULL,49479
136783,NULL,16499
136826,11488,NULL
136950,NULL,30202
137023,10918,NULL
137032,NULL,18456
137078,7247,NULL
137087,16582,NULL
137096,10130,NULL
137120,13581,NULL
137148,NULL,15645
137209,9301,NULL
137245,6145,NULL
137272,NULL,32256
137281,5720,NULL
137315,5646,NULL
137351,11700,NULL
137476,NULL,22866
137546,NULL,26883
137564,NULL,23066
137591,NULL,20665
137713,15101,NULL
137759,4856,NULL
137777,NULL,12571
137801,NULL,19714
137847,NULL,29735
137856,8110,NULL
137865,9606,NULL
137953,NULL,15736
137962,NULL,17750
138132,NULL,17202
138187,6267,NULL
138275,NULL,17413
138284,16529,NULL
138293,NULL,23921
138309,NULL,17101
138354,10729,NULL
138372,16708,NULL
138479,4591,NULL
138488,26932,NULL
138497,6113,NULL
138558,8251,NULL
138600,NULL,20356
138655,NULL,13048
138664,NULL,12845
138682,1033,NULL
138716,11590,NULL
138761,NULL,21847
138789,12966,NULL
138813,NULL,24343
138822,NULL,11264
138840,3082,NULL
138868,NULL,18386
138901,4730,NULL
138929,NULL,NULL
138938,NULL,23011
138947,NULL,33496
138956,9351,NULL
139010,3057,NULL
139144,NULL,24165
139153,NULL,19802
139199,NULL,18531
139205,NULL,17782
139214,NULL,31929
139250,11689,NULL
139278,3607,NULL
139287,NULL,19605
139311,11071,NULL
139348,NULL,NULL
139357,6790,NULL
139366,12250,NULL
139384,3362,NULL
139393,NULL,22202
139463,5574,NULL
139506,NULL,12528
139579,NULL,23886
139621,5201,NULL
139630,NULL,19725
139658,NULL,26760
139700,6732,NULL
139719,13192,NULL
139746,NULL,NULL
139755,13291,NULL
139764,12746,NULL
139861,19686,NULL
139931,16548,NULL
139940,15506,NULL
139959,14625,NULL
139968,10074,NULL
139986,6781,NULL
139995,NULL,16668
140003,NULL,21397
140012,8283,NULL
140146,NULL,NULL
140234,NULL,20432
140243,2930,NULL
140252,NULL,27652
140331,2231,NULL
140340,NULL,23546
140447,NULL,20812
140553,NULL,34928
140562,NULL,NULL
140678,5896,NULL
140696,NULL,22018
140720,NULL,19741
140818,NULL,17869
140827,NULL,NULL
140872,NULL,19113
140942,5082,NULL
140951,NULL,40870
140960,10633,NULL
140988,NULL,19439
141006,4485,NULL
141015,NULL,29439
141060,NULL,40440
141167,NULL,21709
141185,NULL,20507
141237,NULL,17424
141255,1715,NULL
141264,14656,NULL
141325,NULL,14974
141334,15056,NULL
141361,NULL,18072
141486,NULL,20666
141565,13615,NULL
141574,15296,NULL
141608,NULL,14736
141644,NULL,28836
141680,7874,NULL
141796,6190,NULL
141802,9553,NULL
141811,4586,NULL
141839,10446,NULL
141848,NULL,22562
141936,NULL,NULL
141945,NULL,24743
141981,9216,NULL
141990,10203,NULL
142054,NULL,NULL
142090,NULL,21126
142115,13796,NULL
142179,14210,NULL
142276,16689,NULL
142285,14457,NULL
142294,NULL,22444
142328,11152,NULL
142407,NULL,10796
142416,NULL,10003
142443,7931,NULL
142461,NULL,19046
142489,NULL,13718
142522,NULL,7977
142559,7114,NULL
142832,NULL,NULL
142887,NULL,32210
142957,NULL,NULL
143048,NULL,41935
143084,NULL,24745
143118,NULL,17220
143181,NULL,14280
143215,6673,NULL
143233,NULL,NULL
143279,6301,NULL
143288,NULL,12179
143297,NULL,NULL
143303,NULL,NULL
143358,NULL,24814
143376,NULL,12291
143464,NULL,14563
143473,NULL,2898
143482,NULL,8377
143491,NULL,NULL
143516,NULL,4804
143543,NULL,14968
143552,NULL,13898
143613,2478,NULL
143659,NULL,NULL
143695,NULL,15412
143853,NULL,NULL
143978,NULL,NULL
144005,12592,NULL
144014,NULL,NULL
144050,NULL,25455
144157,6507,NULL
144166,4786,NULL
144175,5158,NULL
144184,4941,NULL
144193,3355,NULL
144209,4143,NULL
144218,4143,NULL
144281,NULL,31597
144351,NULL,17085
144485,NULL,19109
144564,5050,NULL
144573,NULL,13894
144740,NULL,30559
144795,NULL,9293
144865,6310,NULL
144883,NULL,25535
144892,14841,NULL
144944,5640,NULL
144962,NULL,22183
144971,NULL,19550
145099,NULL,18051
145239,NULL,13744
145275,NULL,NULL
145309,NULL,9720
145336,16265,NULL
145354,NULL,14450
145372,NULL,20460
145406,NULL,21527
145424,NULL,14906
145433,NULL,16929
145460,NULL,NULL
145497,NULL,25095
145521,5649,NULL
145558,NULL,NULL
145600,14000,NULL
145619,NULL,23827
145628,NULL,NULL
145637,18377,NULL
145646,NULL,26976
145682,9740,NULL
145691,NULL,16501
145707,3135,NULL
145725,NULL,22098
145770,NULL,21089
145813,21345,NULL
145831,7305,NULL
145886,NULL,NULL
146205,6324,NULL
146241,NULL,NULL
146278,7593,NULL
146296,4280,NULL
146339,NULL,20765
146348,6275,NULL
146366,6074,NULL
146393,NULL,30789
146418,7295,NULL
146427,NULL,22998
146454,NULL,11886
146472,4355,NULL
146481,NULL,24628
146490,NULL,NULL
146506,4700,NULL
146533,NULL,NULL
146603,5615,NULL
146612,NULL,19793
146667,NULL,17940
146676,NULL,16139
146685,6392,NULL
146700,NULL,13968
146719,NULL,33036
146728,NULL,NULL
146755,NULL,NULL
146807,NULL,15635
146816,NULL,20140
146825,NULL,17243
146977,NULL,NULL
147004,7201,NULL
147013,NULL,20479
147031,NULL,NULL
147129,NULL,27357
147165,NULL,21214
147244,NULL,20435
147341,NULL,17197
147369,NULL,22917
147378,5151,NULL
147396,NULL,17744
147411,4233,NULL
147439,NULL,8740
147536,NULL,15579
147590,NULL,NULL
147642,NULL,4771
147660,NULL,24231
147679,NULL,19676
147697,NULL,NULL
147703,19823,NULL
147749,NULL,26505
147767,NULL,24047
147776,17312,NULL
147800,6812,NULL
147819,NULL,10654
147828,NULL,20490
147916,8707,NULL
148007,8240,NULL
148016,NULL,NULL
148098,NULL,14812
148131,NULL,17187
148140,NULL,19213
148177,NULL,21434
148256,7590,NULL
148292,5352,NULL
148335,NULL,21333
148380,7842,NULL
148399,NULL,15312
148405,NULL,20601
148487,NULL,24894
148496,NULL,17786
148511,NULL,NULL
148575,NULL,NULL
148584,NULL,18571
148593,NULL,NULL
148627,NULL,14461
148654,12197,NULL
148672,7071,NULL
148821,15358,NULL
148876,NULL,7858
148885,NULL,NULL
148937,5306,NULL
148955,NULL,12261
148982,NULL,NULL
148991,9672,NULL
149028,NULL,NULL
149204,NULL,10548
149222,17175,NULL
149231,15574,NULL
149310,NULL,16485
149329,NULL,6163
149365,6397,NULL
149499,NULL,9558
149505,NULL,21782
149514,NULL,19887
149532,5251,NULL
149550,NULL,18334
149639,NULL,28433
149727,5674,NULL
149763,NULL,NULL
149772,15844,NULL
149781,NULL,28005
149842,7120,NULL
150048,NULL,12726
150066,NULL,23799
150136,15187,NULL
150145,NULL,18876
150163,NULL,36249
150172,NULL,11649
150215,NULL,NULL
150251,NULL,31604
150288,NULL,NULL
150303,NULL,15674
150400,NULL,22323
150428,NULL,15371
150437,NULL,10650
150455,NULL,19454
150534,NULL,20517
150604,NULL,21783
150668,NULL,19251
150677,NULL,21452
150756,NULL,21898
150765,NULL,14848
150774,NULL,23276
150853,NULL,9707
150941,NULL,21892
150987,7025,NULL
151102,12464,NULL
151111,12021,NULL
151166,NULL,21581
151263,NULL,21145
151290,NULL,24829
151306,13319,NULL
151324,13012,NULL
151333,9073,NULL
151342,9169,NULL
151351,14351,NULL
151360,8358,NULL
151379,10268,NULL
151388,8895,NULL
151458,NULL,17598
151467,NULL,15800
151564,NULL,3940
151607,NULL,16044
151616,NULL,NULL
151652,NULL,14691
151661,NULL,20854
151777,NULL,19831
151786,NULL,20366
151801,NULL,19333
151810,NULL,16433
151865,NULL,NULL
151944,NULL,NULL
151962,NULL,18666
152044,NULL,8120
152080,NULL,28768
152099,NULL,16504
152150,NULL,11356
152275,NULL,13653
152309,NULL,9922
152318,NULL,36906
152327,NULL,11858
152336,NULL,18916
152381,NULL,16787
152390,NULL,23244
152415,NULL,20890
152451,NULL,NULL
152497,NULL,30225
152530,NULL,24525
152567,NULL,23499
152600,NULL,21946
152628,NULL,6363
152637,11205,NULL
152673,NULL,21870
152798,NULL,NULL
152992,NULL,22566
153001,NULL,19175
153074,NULL,12203
153083,NULL,12370
153108,NULL,22558
153126,NULL,24334
153144,NULL,20767
153162,NULL,24433
153171,NULL,15622
153214,10489,NULL
153241,NULL,7877
153250,NULL,23792
153269,NULL,27578
153278,NULL,23231
153296,11521,NULL
153302,NULL,11530
153311,9262,NULL
153320,NULL,14874
153339,NULL,8168
153366,NULL,18181
153375,NULL,18332
153384,NULL,22444
153409,NULL,NULL
153418,NULL,17081
153427,NULL,19915
153445,11808,NULL
153463,NULL,10941
153472,8591,NULL
153524,9873,NULL
153533,10576,NULL
153542,NULL,NULL
153588,NULL,13748
153597,NULL,9722
153603,14331,NULL
153621,NULL,24558
153630,11192,NULL
153658,15103,NULL
153737,10982,NULL
153746,NULL,15387
153764,NULL,15465
153773,NULL,9359
153782,NULL,16668
153825,NULL,18800
153834,NULL,25273
153861,NULL,17942
153922,8573,NULL
153977,NULL,21122
154004,NULL,22267
154013,NULL,20477
154022,NULL,18749
154059,9161,NULL
154095,16496,NULL
154101,NULL,23064
154110,9071,NULL
154129,11862,NULL
154156,NULL,NULL
154165,NULL,12436
154174,NULL,13315
154208,NULL,12779
154235,NULL,24503
154262,NULL,21462
154332,NULL,13653
154341,NULL,17334
154350,NULL,22077
154378,8344,NULL
154396,8894,NULL
154448,NULL,10058
154457,NULL,11965
154466,NULL,11873
154493,NULL,24710
154518,NULL,19135
154527,NULL,22950
154536,NULL,NULL
154545,NULL,9795
154572,8349,NULL
154590,NULL,20172
154642,6157,NULL
154688,NULL,21289
154697,8294,NULL
154712,NULL,24312
154721,NULL,23908
154749,NULL,21589
154794,NULL,19815
154800,9088,NULL
154855,NULL,14360
154907,10857,NULL
154925,4355,NULL
154934,7866,NULL
154952,7505,NULL
154998,6445,NULL
155007,NULL,7032
155025,14584,NULL
155052,15196,NULL
155061,12376,NULL
155070,NULL,21292
155089,NULL,23506
155098,5642,NULL
155104,8603,NULL
155140,3434,NULL
155159,NULL,14629
155177,NULL,19614
155186,7371,NULL
155195,7936,NULL
155201,5364,NULL
155210,12255,NULL
155283,NULL,23991
155292,15860,NULL
155308,NULL,12865
155317,18814,NULL
155335,NULL,13800
155353,NULL,15424
155399,17926,NULL
155414,NULL,25808
155423,10724,NULL
155450,6806,NULL
155487,12952,NULL
155496,NULL,20878
155511,NULL,21341
155520,NULL,20227
155566,8920,NULL
155593,12426,NULL
155618,10623,NULL
155627,NULL,23479
155636,NULL,NULL
155681,14214,NULL
155715,8104,NULL
155812,NULL,16702
155830,7614,NULL
155858,5319,NULL
155900,NULL,22291
155937,NULL,19556
155973,NULL,22991
156082,13341,NULL
156107,13008,NULL
156125,14113,NULL
156134,NULL,19838
156189,NULL,13000
156213,NULL,28095
156222,NULL,NULL
156231,6321,NULL
156277,NULL,11119
156286,NULL,24433
156295,NULL,1358
156310,NULL,12767
156338,5113,NULL
156356,NULL,13312
156365,NULL,19568
156392,6923,NULL
156408,NULL,23237
156417,NULL,9012
156426,NULL,17277
156471,NULL,23687
156541,NULL,19509
156620,11892,NULL
156648,5563,NULL
156727,NULL,NULL
156745,NULL,20769
156754,NULL,7711
156790,5801,NULL
156842,NULL,13388
156851,4968,NULL
156860,6874,NULL
156921,5401,NULL
156967,NULL,11210
157021,NULL,18755
157030,NULL,12031
157058,8772,NULL
157076,NULL,19610
157085,18903,NULL
157100,NULL,18051
157207,NULL,NULL
157216,NULL,16083
157270,NULL,29376
157289,16721,NULL
157298,NULL,NULL
157304,5119,NULL
157331,5225,NULL
157377,NULL,24366
157386,12179,NULL
157401,11497,NULL
157438,5944,NULL
157447,9131,NULL
157465,NULL,20551
157483,5045,NULL
157535,NULL,18374
157553,5565,NULL
157599,NULL,NULL
157614,NULL,14055
157650,NULL,13735
157669,NULL,14658
157678,NULL,13836
157711,5881,NULL
157739,5302,NULL
157748,NULL,NULL
157757,NULL,21872
157766,NULL,29287
157793,NULL,28718
157809,NULL,18706
157818,NULL,25405
157827,NULL,12661
157863,NULL,23504
157951,11850,NULL
158088,7823,NULL
158246,NULL,23607
158325,NULL,NULL
158343,NULL,18562
158431,9521,NULL
158440,NULL,10585
158477,NULL,24704
158538,NULL,3463
158617,NULL,16908
158644,NULL,19814
158662,8836,NULL
158723,NULL,17137
158778,NULL,17310
158787,NULL,10134
158802,NULL,16772
158884,9492,NULL
159009,18846,NULL
159027,NULL,12029
159197,NULL,17997
159319,NULL,3518
159328,NULL,8461
159373,NULL,NULL
159382,8975,NULL
159391,18181,NULL
159407,9430,NULL
159416,9571,NULL
159513,NULL,17714
159522,NULL,15301
