UNITID,NPT4_PRIV,NPT4_PUB,TUITFTE,UG12MN
110918,12614,NULL,7352,20
110936,NULL,NULL,NULL,NULL
111054,12431,NULL,6184,370
111081,47921,NULL,28168,1098
111188,NULL,22070,7631,1110
111391,NULL,NULL,27705,NULL
111434,NULL,2774,1456,10216
111461,NULL,4662,1045,32720
111513,16552,NULL,11640,255
111638,24738,NULL,9351,338
111708,17178,NULL,10064,344
111717,14728,NULL,10802,426
111726,6916,NULL,11140,396
111744,14146,NULL,11509,287
111762,3866,NULL,10398,138
111799,9076,NULL,9272,218
111887,NULL,1598,728,28433
111896,NULL,10117,629,9291
111920,NULL,4621,1189,19853
111939,NULL,8812,833,29808
111948,40251,NULL,30672,7363
111966,22912,NULL,32640,187
112075,27220,NULL,15656,2046
112084,34499,NULL,19997,752
112127,NULL,NULL,8133,NULL
112172,NULL,3542,1178,18733
112181,13853,NULL,4547,150
112190,NULL,3168,1475,38862
112251,NULL,NULL,36927,NULL
112260,23889,NULL,35861,1343
112288,18688,NULL,9208,484
112367,NULL,15911,2495,819
112385,NULL,9519,998,20123
112394,31537,NULL,22207,692
112455,16956,NULL,11307,115
112525,NULL,NULL,47040,NULL
112561,NULL,5297,654,3605
112570,34900,NULL,20553,631
112686,NULL,7447,372,12108
112826,NULL,6484,757,10505
113096,NULL,4950,630,20320
113111,NULL,14861,616,8833
113193,NULL,8974,1047,15212
113218,NULL,2792,484,13951
113236,NULL,4745,919,21471
113333,NULL,4223,1900,30817
113449,9351,NULL,4259,253
113537,NULL,NULL,12215,23
113573,NULL,9284,722,14142
113582,39971,NULL,22770,159
113634,NULL,4605,1939,29855
113698,34215,NULL,24774,1415
113704,NULL,NULL,12238,NULL
113856,NULL,8748,782,57381
113980,NULL,8628,1106,33616
114044,24862,NULL,10502,501
114114,NULL,NULL,11063,NULL
114123,21367,NULL,10209,476
114266,NULL,10911,874,14665
114354,41766,NULL,31097,3029
114390,37547,NULL,29710,328
114415,35938,NULL,37950,95
114433,NULL,8324,700,3765
114460,16558,NULL,6623,463
114549,NULL,NULL,22655,NULL
114585,NULL,NULL,10906,NULL
114637,12437,NULL,4186,115
114716,NULL,4212,2286,30736
114734,NULL,NULL,11001,NULL
114761,12448,NULL,9206,102
114789,NULL,2488,447,36000
114813,20706,NULL,16592,3503
114840,NULL,NULL,11578,NULL
114859,NULL,5289,915,33076
114938,NULL,4518,774,8142
114947,26277,NULL,26013,390
115001,NULL,3894,843,20242
115010,34879,NULL,12574,874
115083,NULL,NULL,22657,666
115126,NULL,4475,1361,18070
115214,NULL,NULL,7423,NULL
115296,NULL,2908,365,25781
115357,12350,NULL,7306,122
115393,NULL,3647,400,18259
115409,32739,NULL,31809,867
115658,8741,NULL,5036,170
115728,23175,NULL,16036,641
115746,NULL,NULL,28195,NULL
115755,NULL,14897,4192,8497
115773,7139,NULL,15807,535
115861,NULL,1532,567,9028
115931,26051,NULL,7759,954
116226,29202,NULL,21025,263
116350,17074,NULL,11481,336
116439,NULL,2421,1668,20065
116563,31343,NULL,13402,253
116712,NULL,NULL,21881,173
116846,38997,NULL,15293,80
117052,NULL,3003,506,16612
117104,20060,NULL,10917,579
117140,24750,NULL,20508,6291
117168,31009,NULL,20583,691
117195,NULL,7052,2376,6837
117238,11463,NULL,9744,200
117247,NULL,9924,1073,17817
117274,NULL,9483,1048,4552
117520,NULL,NULL,32235,NULL
117557,18310,NULL,6531,150
117575,NULL,NULL,9339,72
117627,21442,NULL,29673,2196
117636,NULL,NULL,35083,1628
117645,NULL,3802,736,32876
117672,16082,NULL,18865,1900
117690,NULL,9753,1028,13373
117706,NULL,9301,866,27659
117715,NULL,7208,481,10118
117724,NULL,7376,600,21393
117733,NULL,8622,736,26155
117751,26645,NULL,13486,1587
117788,NULL,5248,844,25533
117803,NULL,NULL,3906,269
117867,NULL,8501,600,15918
117894,NULL,4883,673,13123
117946,39898,NULL,33429,6689
117955,12864,NULL,11292,528
118134,17686,NULL,8261,137
118143,15301,NULL,7133,108
118161,16455,NULL,10363,212
118189,21368,NULL,4784,80
118198,18434,NULL,11220,1126
118347,NULL,6975,1612,8140
118541,25484,NULL,20966,1020
118684,NULL,7029,575,6441
118693,23529,NULL,18298,800
118718,NULL,8486,648,15129
118772,NULL,8527,1109,11674
118888,22774,NULL,19045,837
118912,NULL,3728,1467,20677
118930,NULL,7590,1561,12500
118958,13395,NULL,8849,76
118976,NULL,7454,533,24387
118994,12411,NULL,6743,340
119058,NULL,NULL,23161,11
119067,NULL,7253,1009,12329
119137,NULL,1272,958,20160
119164,NULL,2570,975,39512
119173,29267,NULL,24643,2786
119216,NULL,4700,511,20992
119270,35997,NULL,24170,1443
119331,NULL,10713,947,8379
119553,26611,NULL,11949,1611
119605,NULL,NULL,14090,12995
119678,NULL,NULL,NULL,NULL
119775,33580,NULL,15557,485
119845,18652,NULL,9935,205
119951,19753,NULL,19542,282
120069,27053,NULL,10371,388
120078,25378,NULL,9116,1042
120087,25609,NULL,11344,267
120184,25610,NULL,18765,1026
120254,31842,NULL,29134,2116
120290,NULL,8977,1675,15318
120342,NULL,4225,1161,29007
120403,42253,NULL,33696,1118
120421,NULL,1231,240,11162
120537,22440,NULL,12251,1128
120661,22391,NULL,14747,1049
120698,NULL,NULL,26399,159
120768,NULL,NULL,23761,692
120795,NULL,NULL,8407,NULL
120838,NULL,NULL,11831,8
120865,21968,NULL,16868,1410
120883,25973,NULL,32936,3778
120953,NULL,9264,429,6809
120971,NULL,4061,1036,35282
121044,NULL,4559,1401,37252
121150,34701,NULL,31625,3759
121257,31590,NULL,50757,1099
121275,27872,NULL,21641,239
121309,32319,NULL,21015,3475
121345,13622,NULL,22245,1720
121363,NULL,4573,366,5284
121433,12594,NULL,6081,135
121619,NULL,4474,728,35606
121628,NULL,NULL,11951,NULL
121637,8232,NULL,3733,120
121691,25727,NULL,18560,3469
121707,NULL,4266,968,6226
121859,12608,NULL,11959,290
121868,13128,NULL,7316,164
121886,NULL,4433,684,30334
121901,NULL,6033,742,30088
121992,8362,NULL,9443,522
122117,NULL,NULL,5767,15
122180,NULL,5504,713,31936
122205,NULL,5909,1863,31229
122296,NULL,NULL,28900,1536
122339,NULL,5672,674,25489
122375,NULL,5603,574,36637
122384,NULL,6155,584,27682
122409,NULL,15287,6737,32312
122436,32576,NULL,29223,6247
122454,45203,NULL,28863,395
122506,37351,NULL,23328,210
122597,NULL,15033,5482,29871
122603,NULL,NULL,6963,NULL
122612,32782,NULL,28022,7410
122649,NULL,NULL,23661,NULL
122658,NULL,10788,572,24609
122685,27819,NULL,8735,9054
122728,22633,NULL,15084,1464
122746,NULL,10549,1157,14136
122755,NULL,15270,6385,29585
122791,NULL,1302,1295,14317
122834,16615,NULL,15659,604
122852,16333,NULL,14214,149
122889,NULL,8976,2186,23001
122931,37399,NULL,32521,5773
122977,NULL,4325,2934,41743
123013,NULL,6229,1272,30597
123095,NULL,NULL,29148,NULL
123165,33520,NULL,36851,1108
123217,NULL,1197,482,15686
123280,11693,NULL,5006,46
123299,NULL,4822,846,13667
123341,NULL,4154,1212,25329
123350,11052,NULL,4169,147
123448,NULL,NULL,21757,NULL
123457,24298,NULL,15211,955
123484,NULL,7014,1606,3610
123493,NULL,8664,3503,510
123509,NULL,955,1313,14778
123527,NULL,6989,602,19974
123554,35622,NULL,22631,3029
123563,NULL,6065,703,13835
123572,NULL,16801,5615,9464
123633,NULL,NULL,7743,54
123642,20573,NULL,6472,328
123651,20292,NULL,16707,2517
123679,26870,NULL,13928,901
123800,NULL,3919,412,24867
123855,NULL,NULL,13823,NULL
123916,NULL,NULL,17000,NULL
123943,NULL,NULL,50161,NULL
123952,47287,NULL,30865,284
123961,30453,NULL,37039,20777
123970,NULL,NULL,40346,NULL
124113,NULL,10167,327,12213
124283,NULL,NULL,7908,NULL
124292,24214,NULL,15108,376
124487,25415,NULL,12404,217
124681,25514,NULL,8651,1196
124706,21706,NULL,13178,1157
124937,23581,NULL,13702,1013
125028,NULL,1247,593,19114
125037,NULL,NULL,11862,NULL
125091,NULL,8565,416,16814
125170,NULL,5927,1014,11081
125231,21276,NULL,10195,13410
125310,12996,NULL,9722,49
125462,NULL,7221,431,5439
125471,NULL,8068,908,20945
125499,NULL,6720,1368,12112
125532,23901,NULL,15521,2136
125718,NULL,NULL,6541,NULL
125727,30719,NULL,21257,1370
125763,24522,NULL,23764,1732
125897,28351,NULL,27284,1247
126012,NULL,NULL,26360,NULL
126049,NULL,NULL,44131,NULL
126076,9163,NULL,18557,153
126119,NULL,2724,333,10007
126164,10498,NULL,8714,94
126182,NULL,14229,6150,2454
126207,NULL,9098,2731,8436
126289,NULL,9527,6715,14803
126359,19979,NULL,9187,491
126562,NULL,15446,14528,20690
126580,NULL,15812,10806,14206
126605,23128,NULL,15463,449
126614,NULL,21510,20468,32113
126669,24344,NULL,12657,11476
126678,25041,NULL,36561,2319
126687,20927,NULL,18437,1351
126711,NULL,6690,2496,8322
126748,NULL,13502,6797,1829
126775,NULL,25781,21358,4974
126784,16909,NULL,12814,236
126818,NULL,19800,15368,28854
126827,15658,NULL,13826,38556
126863,NULL,16488,5614,11777
126872,26071,NULL,16640,195
126915,NULL,9913,3633,422
126942,NULL,6866,5203,12230
126951,23781,NULL,12596,1486
126979,NULL,NULL,10364,NULL
127060,28991,NULL,28488,6118
127158,NULL,5842,2832,5140
127185,NULL,16922,5025,3688
127200,NULL,9713,6034,28106
127273,NULL,NULL,19169,NULL
127316,15419,NULL,8851,437
127389,NULL,9459,3558,1015
127556,NULL,18840,8494,10651
127565,NULL,16204,7043,24266
127617,NULL,8205,4718,1920
127653,26812,NULL,21913,525
127714,NULL,NULL,10188,1170
127732,NULL,11484,4709,2220
127741,NULL,14230,10249,11397
127778,NULL,10679,3043,1731
127787,NULL,NULL,11630,142
127820,NULL,9113,5209,18604
127884,NULL,11677,3924,9901
127909,NULL,9162,6292,12010
127918,24422,NULL,15755,5022
127945,21571,NULL,17968,1194
127954,13327,NULL,20872,17
128106,NULL,12556,5757,5977
128151,NULL,6344,2910,1344
128179,17845,NULL,11228,992
128188,19370,NULL,13326,1532
128258,NULL,10806,3722,2326
128328,NULL,NULL,0,4276
128337,14711,NULL,9476,151
128391,NULL,17200,10527,3271
128498,25089,NULL,12493,1519
128577,NULL,8946,3944,2730
128586,18671,NULL,11356,42
128674,15722,NULL,30979,267
128744,22961,NULL,16748,3688
128771,NULL,16288,9228,10925
128780,NULL,NULL,9554,2169
128896,21573,NULL,7464,402
128902,32606,NULL,29719,1891
129002,24852,NULL,16125,441
129020,NULL,21588,14857,20385
129154,16301,NULL,23156,4773
129181,20490,NULL,12756,1176
129215,NULL,18546,6827,5549
129242,39676,NULL,29223,4500
129349,16419,NULL,12318,259
129367,NULL,5368,2695,5027
129428,NULL,NULL,39500,NULL
129482,18537,NULL,10452,633
129491,NULL,NULL,14619,NULL
129525,29592,NULL,15745,6138
129534,11972,NULL,7668,264
129543,NULL,6206,2551,6956
129695,NULL,6576,3693,9240
129729,NULL,5377,3623,8851
129756,NULL,6054,3614,3948
129774,26575,NULL,28741,749
129808,NULL,7069,3556,5520
129923,19099,NULL,10362,775
129932,15008,NULL,11641,931
129941,32975,NULL,20345,5512
130004,NULL,7240,3858,8070
130040,NULL,6502,3228,1716
130110,16050,NULL,17067,85
130174,22076,NULL,14834,3853
130183,9857,NULL,11267,15609
130217,NULL,7468,3324,1906
130226,39307,NULL,28477,7835
130253,41066,NULL,22999,6060
130314,25508,NULL,21573,935
130396,NULL,6931,3340,9696
130493,NULL,19291,9814,8994
130509,16202,NULL,15458,939
130590,32122,NULL,29483,2369
130606,NULL,7461,3524,5643
130624,NULL,NULL,16969,1065
130697,26291,NULL,29745,3211
130776,NULL,19124,8967,5994
130794,18770,NULL,18542,6585
130837,NULL,NULL,8398,59
130873,17390,NULL,8638,592
130907,NULL,8816,5579,18681
130934,NULL,13789,7292,4282
130943,NULL,16127,19463,21031
130989,14065,NULL,12024,839
131061,14474,NULL,6586,191
131098,22643,NULL,14819,1649
131113,15282,NULL,10358,11496
131159,34617,NULL,31310,8721
131283,34972,NULL,23458,3431
131399,NULL,16482,9559,5038
131405,NULL,NULL,14227,NULL
131450,15157,NULL,13462,1215
131469,33734,NULL,31783,12801
131496,30169,NULL,37738,8269
131520,39792,NULL,15476,6631
131803,NULL,NULL,12774,1154
131830,9790,NULL,9369,50
131876,15414,NULL,15182,1680
131973,NULL,NULL,6921,NULL
132374,NULL,5364,1598,4495
132408,8511,NULL,9498,443
132471,17937,NULL,16339,3935
132602,15372,NULL,9784,4323
132657,37274,NULL,20918,2411
132675,NULL,4217,2114,182
132693,NULL,5734,1833,20522
132709,NULL,8783,1762,60896
132842,26048,NULL,14984,228
132851,NULL,7008,1197,9505
132879,13755,NULL,13441,228
132903,NULL,12733,5494,66659
132976,NULL,7510,1967,524
133021,NULL,1929,1592,2616
133155,NULL,6287,1694,944
133386,NULL,6478,1891,19934
133465,21471,NULL,13137,1089
133492,32575,NULL,23475,2138
133508,NULL,9027,1668,22279
133526,12416,NULL,5277,4783
133553,30197,NULL,29020,6100
133650,NULL,15341,4600,8898
133669,NULL,9768,6183,31186
133702,NULL,4493,2285,36771
133711,23182,NULL,15112,2860
133809,20540,NULL,18379,526
133845,28952,NULL,13338,1042
133854,28514,NULL,14186,951
133863,22857,NULL,13867,898
133872,17211,NULL,15360,2038
133881,31900,NULL,22571,3944
133942,NULL,NULL,10516,80
133951,NULL,8311,5881,58244
133960,NULL,13238,2836,1440
133979,17125,NULL,14878,1328
133997,30890,NULL,10021,824
134024,16550,NULL,13042,191
134079,26036,NULL,16887,2986
134097,NULL,10744,5766,37025
134112,16021,NULL,3998,5954
134130,NULL,8057,8054,38727
134228,13088,NULL,3244,48
134237,25440,NULL,15223,25053
134291,NULL,8884,1737,876
134307,NULL,3653,1678,1411
134343,NULL,2649,1435,7522
134495,NULL,4645,2085,40019
134510,9692,NULL,5849,304
134529,22742,NULL,9711,458
134574,22836,NULL,7737,294
134608,NULL,1551,1432,24349
134714,21632,NULL,12234,249
134811,16605,NULL,10071,1818
134945,21588,NULL,15287,3526
135081,30767,NULL,13567,31911
135142,10727,NULL,5176,447
135160,NULL,2788,1530,4743
135179,NULL,11831,3039,1086
135188,NULL,4341,2131,6396
135267,NULL,5440,3560,1597
135276,NULL,7313,991,944
135294,NULL,6143,1826,1337
135337,19119,NULL,5555,176
135364,6717,NULL,8872,385
135391,NULL,12372,2179,14618
135407,NULL,5674,1769,1456
135522,NULL,7520,2328,594
135559,23903,NULL,11918,108
135610,NULL,NULL,15992,183
135647,NULL,7611,5332,1708
135717,NULL,6327,1692,88475
135726,30841,NULL,30749,11984
135735,NULL,NULL,1294,3066
135771,23145,NULL,4796,571
136109,18338,NULL,9999,328
136145,NULL,2834,1011,1768
136172,NULL,10951,5546,16929
136215,25816,NULL,29158,5026
136233,NULL,5382,2010,7962
136303,NULL,10918,1481,1588
136330,23881,NULL,17279,3323
136358,NULL,2954,1753,44024
136400,NULL,4900,1502,15416
136473,NULL,3542,1925,13734
136491,NULL,21422,2422,1607
136516,NULL,7327,1910,15190
136659,NULL,8554,1427,657
136701,NULL,NULL,16893,NULL
136765,NULL,24248,2769,534
136774,49515,NULL,36642,1472
136826,NULL,11081,1796,1240
136950,27537,NULL,19635,2805
137023,NULL,12047,3156,758
137032,19545,NULL,11346,16699
137078,NULL,3410,2124,38969
137087,NULL,15972,3150,1912
137096,NULL,12174,2680,19571
137120,NULL,14531,3908,2069
137209,NULL,8967,2101,24508
137245,NULL,7384,2643,2760
137272,30275,NULL,37975,59
137281,NULL,4509,1998,9616
137315,NULL,5574,1222,3772
137351,NULL,9838,6658,37246
137476,16833,NULL,14647,3701
137546,25978,NULL,19036,3232
137564,24262,NULL,10676,7469
137591,20918,NULL,7867,586
137713,NULL,14107,2157,247
137759,NULL,4105,1780,16944
137777,16132,NULL,7748,33
137801,20894,NULL,15099,1437
137847,30579,NULL,18371,8745
137856,NULL,9520,2064,221
137865,NULL,6555,2828,644
137953,16054,NULL,8167,437
137962,16541,NULL,12356,232
138132,19760,NULL,5256,87
138187,NULL,5585,2206,61524
138275,17309,NULL,11900,1123
138284,NULL,17751,3097,575
138293,23513,NULL,12384,668
138309,18640,NULL,12148,14010
138354,NULL,8125,5850,12156
138372,NULL,11008,1372,1938
138479,NULL,NULL,2806,1551
138488,NULL,22971,1116,1883
138497,NULL,6780,3308,499
138558,NULL,7964,3189,6347
138600,20235,NULL,13239,970
138655,14314,NULL,8301,841
138664,15984,NULL,5960,114
138682,NULL,698,1925,4587
138716,NULL,13066,3461,9549
138761,22868,NULL,7318,327
138813,20707,NULL,8457,2151
138822,11487,NULL,10589,750
138840,NULL,2086,1734,6011
138868,20901,NULL,9966,2232
138901,NULL,5240,2711,3709
138929,NULL,NULL,33652,NULL
138938,23598,NULL,14238,532
138947,33276,NULL,18157,3576
138956,NULL,7274,1611,6445
139144,23158,NULL,14760,2047
139153,11504,NULL,12782,374
139199,22083,NULL,17169,2189
139205,19677,NULL,9762,985
139214,31420,NULL,11519,324
139250,NULL,13174,2629,4498
139278,NULL,3187,2321,9627
139311,NULL,11160,4727,7975
139348,NULL,NULL,3350,NULL
139357,NULL,5445,1856,4566
139366,NULL,12194,6571,8072
139384,NULL,2172,1992,7603
139393,22234,NULL,14193,1062
139463,NULL,6272,2448,6009
139506,12343,NULL,6107,266
139579,20463,NULL,12661,784
139621,NULL,6196,1773,3788
139630,17950,NULL,10579,1042
139658,24593,NULL,27038,7869
139700,NULL,6482,2923,7836
139719,NULL,14940,3208,2556
139746,NULL,NULL,4701,74
139755,NULL,14927,13259,17068
139764,NULL,13206,4919,3111
139861,NULL,20189,8641,6674
139931,NULL,15795,6003,27294
139940,NULL,14519,7597,30307
139959,NULL,13971,12020,31645
139968,NULL,10709,2017,4696
139986,NULL,5112,1962,6610
139995,18294,NULL,14368,259
140003,22059,NULL,8637,485
140012,NULL,8213,3315,12129
140146,NULL,NULL,13792,NULL
140234,19699,NULL,14245,1000
140243,NULL,3333,3116,5244
140252,26841,NULL,20119,897
140331,NULL,2424,3058,14886
140340,23045,NULL,13790,1125
140447,20828,NULL,18120,5112
140553,40068,NULL,14044,2326
140562,NULL,NULL,32425,NULL
140678,NULL,4232,2379,3804
140696,21515,NULL,12798,1662
140720,14607,NULL,10037,478
140818,17894,NULL,13170,1473
140827,NULL,NULL,20038,96
140872,21020,NULL,12417,1674
140942,NULL,5377,2260,5819
140951,42355,NULL,26656,12050
140960,NULL,10132,2843,4802
140988,19795,NULL,10363,1700
141006,NULL,2564,2379,2870
141015,32931,NULL,21724,393
141060,40840,NULL,17303,2171
141167,20038,NULL,17579,1502
141185,21808,NULL,10216,1865
141237,17069,NULL,9159,2865
141255,NULL,540,2620,5949
141264,NULL,14278,6176,10099
141325,12462,NULL,11015,738
141334,NULL,16234,6794,12739
141361,18195,NULL,8499,1366
141486,23119,NULL,16218,2165
141565,NULL,15125,7645,3516
141574,NULL,15286,11038,15196
141608,15752,NULL,8018,151
141644,27139,NULL,18044,4225
141680,NULL,8002,3158,5157
141796,NULL,6803,4253,10315
141802,NULL,9732,2329,1781
141811,NULL,4461,3191,9977
141839,NULL,10139,2996,4293
141945,25191,NULL,7700,100
141981,NULL,10519,5414,4149
141990,NULL,10637,2732,3823
142054,27922,NULL,15990,658
142090,18755,NULL,12293,145
142115,NULL,15020,8429,24224
142179,NULL,11612,2836,1301
142276,NULL,16679,7564,13130
142285,NULL,14502,9330,11608
142294,22697,NULL,11763,961
142328,NULL,9988,4440,4919
142407,12909,NULL,6650,74
142416,11857,NULL,10583,17
142443,NULL,7696,2488,7552
142461,17082,NULL,10007,5401
142489,13666,NULL,5421,52
142522,7632,NULL,2402,78838
142559,NULL,6157,2875,12679
142832,NULL,NULL,32188,NULL
142887,29145,NULL,26032,266
142957,NULL,NULL,68,16
143048,43013,NULL,33923,3165
143084,23310,NULL,16530,2696
143118,17613,NULL,12630,4339
143181,15745,NULL,7898,138
143215,NULL,7650,3627,16187
143233,NULL,NULL,2062,NULL
143279,NULL,6111,2810,8110
143288,15949,NULL,12946,584
143297,NULL,NULL,12592,333
143303,NULL,NULL,5760,18
143358,24706,NULL,17819,4749
143376,12413,NULL,13029,419
143464,14313,NULL,9385,126
143473,6373,NULL,7339,65
143482,9789,NULL,13168,57
143491,NULL,NULL,8413,84
143543,16051,NULL,10081,89
143552,12536,NULL,8635,87
