"fit","trend","signal","UNITID"
6303.58971988162,6234.59639471569,68.9933251659427,125499
5906.0805845527,5852.50402589468,53.5765586580285,122746
6447.18466471302,6392.92968043864,54.2549842743986,114266
6952.21651289802,6930.70220489558,21.5143080024563,122658
5609.49773476904,5593.2605127994,16.237221969657,118718
5913.77400647515,5889.84463059429,23.9293758808832,123013
5939.73339803221,5935.82600734076,3.90739069146822,121707
5623.17325838271,5601.85733664302,21.3159217396991,444219
5540.43867123938,5515.4834683418,24.9552028975939,123341
5038.01752569487,5007.41852948019,30.5989962146915,455512
5495.78612947063,5421.54182323664,74.2443062340045,122180
5656.15206896886,5588.8906907419,67.261378226971,113096
6272.02932497707,6245.59903132724,26.4302936498516,123493
5663.49066881329,5628.10056412147,35.3901046918284,109208
4671.08555683156,4662.73025953446,8.3552972971253,110246
